fk_customer,channel,partner,device,first_sale_number,age,gender,state,expected_delivery_date,delivered_date,first_sale_date,second_sale_date,has_marketplace,has_crossdocking,has_private_label,has_brands,gmv
26926703,CRM - WEBPUSH,OTHER,DESKTOP,89571774,62,female,são paulo,20180419,20180418,20180415,,0,0,0,0,149.99
27266156,DISPLAY,APPLIFT,APP ANDROID,44498914,37,female,bahia,20180605,20180606,20180513,20180909,0,0,1,0,99.00
31239746,CRM - APPPUSH,CRITEO,APP ANDROID,4466204215,38,male,rio de janeiro,20190221,20190209,20190204,20190609,0,0,0,1,339.99
26280693,DISPLAY,APPLIFT,APP IOS,48823764,25,female,ceara,20180315,20180307,20180218,20180719,0,0,0,1,254.89
30991690,COMPARISON,FACEBOOK,DESKTOP,4465535369,22,female,são paulo,20190116,20190116,20190112,20190410,0,0,0,1,134.99
17860127,ORGANIC,GOOGLE,DESKTOP,4459807082,32,male,são paulo,20180808,20180814,20180805,,0,0,0,1,119.98
30707264,FACEBOOKADS - APP,FACEBOOK,APP ANDROID,4465011521,43,female,minas gerais,20190104,20181228,20181220,20181220,1,0,0,1,622.99
27233563,SEM BRAND,GOOGLE,DESKTOP,54228414,35,female,rio grande do sul,20180518,20180514,20180508,,0,0,0,0,232.41
14469106,SOCIAL,FACEBOOK,APP IOS,4457882010,23,female,santa catarina,20180704,20180615,20180610,,0,0,0,1,199.00
27036658,DIRECT,UNKNOWN,DESKTOP,73648254,36,female,goiás,20180504,20180502,20180423,,0,0,1,0,94.99
27709780,AFFILIATES - GENERAL,GOOGLE,APP ANDROID,4457864084,45,female,minas gerais,20180704,20180620,20180609,20180807,0,0,0,1,104.88
28969530,CRM - WEBPUSH,GOOGLE,DESKTOP,4461046050,26,male,são paulo,20190628,20190628,20180910,20190626,1,0,0,0,24.90
26426691,FACEBOOKADS - APP,FACEBOOK,APP IOS,4468305165,24,female,paraná,20190422,20190417,20190411,,0,0,0,1,159.00
31797673,DIRECT,DIRECT,APP IOS,4467431788,20,female,goiás,20190326,20190325,20190317,,0,0,0,1,159.89
34665907,COMPARISON,GOOGLE,DESKTOP,4470871369,18,male,paraná,20190704,20190701,20190620,,0,0,0,1,159.99
28311377,FACEBOOKADS - PROSPECT,FACEBOOK,M+T SITE,4467637991,52,female,são paulo,20190328,20190327,20190323,,0,0,0,1,89.99
2208372,ORGANIC,GOOGLE,DESKTOP,4472338111,74,male,são paulo,20190802,20190802,20190731,,0,0,0,1,194.99
27928381,FACEBOOKADS - APP,FACEBOOK,APP ANDROID,4458366358,26,male,tocantins,20180710,20180705,20180623,20180815,0,0,0,1,59.90
31977386,FACEBOOKADS - APP,FACEBOOK,APP ANDROID,4468242758,29,female,bahia,20190502,20190424,20190409,,0,0,1,0,99.00
26515578,FACEBOOKADS - STATIC,FACEBOOK,M+T SITE,54442484,26,female,santa catarina,20180402,20180320,20180315,20190331,0,0,0,0,15.99
28745373,CRM - APPPUSH,PROMOTIONAL,APP ANDROID,8640586,39,male,mato grosso,20190211,20190122,20190110,20190110,1,0,1,1,298.90
3924218,FACEBOOKADS - APP,FACEBOOK,APP ANDROID,13016259,21,male,piauí,20190424,20190418,20190408,20190422,0,0,0,1,368.87
13053317,DIRECT,DIRECT,APP ANDROID,4458129247,37,male,pernambuco,20180706,20180626,20180616,20180616,1,0,1,1,299.87
24459490,REFERRAL,CUPONOMIA,DESKTOP,11107650,24,male,minas gerais,20190328,20190322,20190315,,0,0,0,1,134.87
32574892,DIRECT,UNKNOWN,M+T SITE,4469033356,35,female,são paulo,,20190510,20190504,,1,0,0,0,35.71
35556824,FACEBOOKADS - PROSPECT,FACEBOOK,M+T SITE,4472475780,57,male,rio grande do sul,,20190820,20190804,,1,0,0,0,129.99
35905984,COMPARISON,GOOGLE,M+T SITE,4473300746,23,female,bahia,20190911,20190902,20190826,,0,0,1,0,59.99
27008946,COMPARISON,GOOGLE,M+T SITE,23985454,41,female,são paulo,20180511,20180507,20180421,,1,0,0,0,99.80
35114103,CRM - EMAIL,AUTOMATED,M+T SITE,4472207683,27,female,são paulo,20190812,20190731,20190728,,0,0,0,1,149.99
21341995,DIRECT,DIRECT,APP ANDROID,4461497785,39,female,são paulo,20181003,20180928,20180924,20190406,0,0,0,1,417.00
34226685,ORGANIC,GOOGLE,DESKTOP,17045887,28,female,goiás,20190611,,20190531,,0,0,0,1,108.77
27165170,COMPARISON,GOOGLE,DESKTOP,6758494,21,male,rio de janeiro,20181227,20181212,20181203,20190329,0,0,0,1,194.96
4288652,CRM - APPPUSH,APPLIFT,APP ANDROID,4461053272,39,female,rio grande do sul,20180928,20180917,20180910,20180911,0,0,0,1,144.99
28203401,DIRECT,UNKNOWN,M+T SITE,4459016496,48,female,são paulo,20180719,20180717,20180713,,0,0,0,1,114.99
34550104,DIRECT,DIRECT,APP ANDROID,4470658296,27,female,são paulo,20190703,20190622,20190614,,0,0,1,0,59.90
35549865,DIRECT,DIRECT,APP ANDROID,4472757516,23,female,distrito federal,20190815,20190815,20190810,20190908,0,0,1,0,159.00
27933144,CRM - APPPUSH,EXCHANGED,APP ANDROID,4458438282,29,female,rio de janeiro,20180706,20180703,20180626,20181024,0,0,1,1,182.97
24004708,FACEBOOKADS - APP,FACEBOOK,APP IOS,3292682,22,male,rio de janeiro,20181123,20181113,20181102,,0,0,1,1,238.90
30330184,CRM - APPPUSH,PROMOTIONAL,APP ANDROID,4465524968,46,male,minas gerais,20190121,20190118,20190112,20190112,1,0,0,0,194.89
30071805,DIRECT,GLISPA,APP IOS,5318406,46,female,são paulo,20181206,20181127,20181122,20181206,1,0,0,0,177.90
34839104,SEM NON-BRAND,GOOGLE,DESKTOP,4471116760,30,male,paraná,20190705,20190703,20190628,,0,0,0,0,199.99
34058203,FACEBOOKADS - APP,FACEBOOK,APP ANDROID,4472298067,40,female,ceará,20190909,20190813,20190730,,0,0,0,1,189.98
21159445,CRM - EMAIL,GOOGLE,DESKTOP,65822354,30,male,maranhão,20180523,20180515,20180506,20180928,0,0,0,1,219.99
36211639,CRM - APPPUSH,PROMOTIONAL,APP ANDROID,4474045964,58,female,paraíba,20190926,20190923,20190916,,0,0,0,1,234.88
34530991,CRM - EMAIL,AUTOMATED,DESKTOP,18103404,55,female,distrito federal,20190624,20190627,20190612,,0,0,0,0,208.88
30003001,FACEBOOKADS - PROSPECT,FACEBOOK,M+T SITE,4463454185,51,female,são paulo,20181121,20181121,20181119,,0,0,0,1,179.98
28942203,SEM BRAND,GOOGLE,DESKTOP,4461585489,29,male,são paulo,20181003,20181002,20180926,,0,0,0,1,189.00
27613882,AFFILIATES - GENERAL,ZANOX,M+T SITE,93286734,23,male,minas gerais,20180615,20180609,20180602,20190328,0,0,0,0,217.00
25752689,REMARKETING,CRITEO,DESKTOP,75566644,43,male,minas gerais,,,20180104,,0,0,0,0,113.89
13751651,DIRECT,DIRECT,APP IOS,4459104651,24,female,paraná,20180727,20180723,20180716,20190123,0,0,0,1,209.99
31239232,SEM BRAND,GOOGLE,DESKTOP,4466814611,27,female,mato grosso do sul,20190312,20190312,20190223,20190223,1,0,0,1,874.90
27123030,REFERRAL,CUPONOMIA,DESKTOP,12589754,29,female,santa catarina,20180516,20180510,20180430,20180516,0,0,0,0,164.99
